Oscore,Cscore,Escore,AScore,Nscore,SS,Impulsive
-0.01928,-0.14277,0.63779,0.76096,0.31287,-0.52593,-0.21712
-2.21069,0.58489,-1.23177,1.81866,-1.1943,-2.07848,-2.55524
-1.42424,-1.5184,-0.80615,1.11406,1.23461,-0.21575,1.86203
-1.42424,2.33337,0.16767,-0.30172,-0.46725,-1.18084,-0.71126
-0.71727,0.7583,-0.94779,-0.15487,0.62967,-1.54858,-1.37983
0.58331,0.7583,1.2861,1.11406,-1.86962,0.07987,0.52975
1.88511,0.25953,-1.92173,-0.91699,1.8399,1.92173,0.19268
-0.01928,-0.89891,-0.69509,-1.34289,1.13281,1.2247,1.29221
-0.45174,1.13407,-0.57545,0.76096,0.41667,-0.52593,-1.37983
0.58331,0.25953,1.74091,1.11406,-2.75696,0.40148,-0.71126
0.29338,0.93949,-0.43999,-0.76096,1.98437,0.40148,-0.71126
-0.01928,-0.40581,0.63779,-0.76096,-0.14882,0.07987,-0.21712
-1.42424,2.04506,-0.30033,1.45039,-0.46725,-0.52593,-0.71126
0.58331,-1.5184,0.80523,0.94156,1.13281,-0.84637,0.88113
-0.01928,1.81175,-0.43999,1.2861,-0.14882,-1.18084,-0.71126
-0.17779,0.7583,-0.15487,0.28783,-1.1943,0.07987,-0.21712
0.58331,0.93949,0.16767,0.59042,-0.79151,-0.52593,-1.37983
0.14143,0.58489,-1.23177,-0.15487,0.41667,0.07987,0.52975
-0.97631,0.25953,0.80523,0.28783,0.31287,0.40148,-0.21712
-1.55521,-0.78155,0.32197,1.11406,-0.46725,-0.84637,-1.37983
0.29338,1.30612,1.74091,0.59042,0.04257,-0.52593,0.19268
-1.97495,0.7583,0.63779,0.28783,-0.58016,-0.52593,-0.71126
1.43533,-0.00665,1.2861,-1.34289,-0.58016,1.2247,-0.71126
0.44585,-0.65253,0.00332,-0.45321,0.62967,0.40148,-0.21712
0.14143,0.7583,2.127,0.13136,-0.46725,1.2247,1.86203
-0.17779,-1.0145,0.16767,-0.60633,1.02119,1.2247,1.29221
-2.09015,0.7583,-0.15487,0.28783,-0.92104,-1.54858,-1.37983
-1.42424,-0.65253,-0.43999,0.76096,0.91093,-0.52593,-1.37983
-0.17779,-0.40581,-0.15487,-0.45321,-0.79151,1.2247,-0.21712
2.44904,-0.65253,-0.15487,0.94156,2.127,0.07987,-0.21712
-0.84732,-0.78155,-0.94779,-1.34289,1.02119,0.7654,0.19268
-1.82919,0.25953,-1.37639,0.94156,0.52135,-0.84637,0.52975
0.29338,1.46191,-0.30033,0.28783,-0.79151,-0.84637,-0.21712
-0.71727,1.13407,0.16767,-0.91699,0.73545,-0.84637,-1.37983
-0.45174,-0.14277,-0.80615,-1.21213,-0.34799,0.40148,1.86203
0.14143,-1.64101,-1.37639,-0.30172,2.127,-0.21575,1.29221
1.06238,2.04506,0.00332,0.59042,-0.24649,-0.52593,-0.71126
0.7233,-0.40581,-0.57545,0.76096,1.13281,-0.21575,0.19268
0.88309,-1.64101,1.74091,-1.92595,1.23461,1.2247,0.88113
1.24033,-1.5184,-0.43999,0.13136,-0.34799,0.40148,0.52975
-0.97631,-1.38502,0.00332,0.13136,0.52135,-0.52593,-0.71126
-0.58331,0.7583,0.32197,0.13136,0.62967,-0.21575,-0.21712
0.29338,-0.27607,0.16767,-0.30172,0.62967,-0.52593,-0.21712
0.29338,-0.27607,-1.6334,-0.60633,-0.14882,0.40148,-0.71126
0.44585,-0.14277,0.47617,0.76096,0.04257,1.2247,1.86203
-1.42424,-0.00665,1.11406,0.28783,-1.1943,-0.84637,-0.71126
1.43533,0.58489,0.16767,0.59042,0.41667,0.07987,-1.37983
0.44585,0.25953,1.74091,0.13136,-0.67825,0.07987,-0.71126
-1.82919,-1.64101,-1.50796,0.13136,2.46262,-0.52593,0.88113
1.24033,-0.00665,0.80523,0.59042,-1.69163,-1.54858,-0.21712
-2.8595,2.63199,1.74091,-0.76096,-0.05188,-1.54858,-1.37983
-0.71727,0.7583,0.47617,0.76096,-1.05308,-0.21575,-0.21712
-0.45174,-0.14277,-0.94779,0.76096,0.82562,-0.21575,0.19268
1.24033,-1.13788,-0.80615,-1.6209,1.8399,0.40148,0.88113
0.14143,2.04506,0.96248,0.43852,-2.75696,-0.21575,-0.71126
0.58331,1.13407,1.74091,-1.34289,-0.92104,1.2247,0.52975
-0.97631,-0.14277,0.47617,0.43852,-0.34799,-0.21575,0.52975
-1.55521,1.46191,0.47617,-0.30172,2.61139,-0.84637,-0.21712
-0.31776,1.13407,-0.15487,2.23427,0.41667,-0.52593,-1.37983
1.06238,1.46191,1.2861,-0.76096,0.91093,0.40148,0.19268
0.7233,-0.27607,0.96248,0.28783,-0.24649,0.07987,0.52975
-0.71727,-0.78155,-1.37639,-1.34289,0.73545,0.7654,-0.21712
-0.45174,0.12331,-0.80615,-1.47955,-0.67825,-0.21575,-0.71126
0.58331,0.25953,0.32197,1.11406,-0.58016,-0.52593,-0.71126
0.44585,-0.40581,0.32197,-1.21213,0.13606,0.07987,1.86203
0.58331,0.41594,0.80523,-0.01729,-0.79151,-0.52593,-0.71126
-0.17779,-0.00665,-0.30033,0.43852,-1.32828,-0.52593,-0.21712
-1.11902,0.58489,0.63779,1.2861,-0.79151,-2.07848,-1.37983
-0.31776,0.41594,0.16767,-0.91699,0.41667,0.40148,0.88113
-1.42424,-0.78155,1.11406,-0.45321,-0.05188,1.2247,0.88113
0.44585,-0.27607,1.11406,-1.07533,0.73545,1.92173,0.88113
-1.42424,0.7583,0.63779,0.13136,-0.24649,0.07987,1.29221
0.14143,0.7583,1.58487,-0.30172,-0.92104,0.40148,0.19268
-0.58331,0.41594,-0.15487,-0.60633,-0.05188,-0.52593,-0.71126
-0.84732,-0.40581,-0.94779,-1.07533,0.52135,0.40148,-0.21712
-0.01928,-0.27607,0.63779,-0.15487,0.41667,1.2247,0.52975
-0.84732,-0.00665,-0.43999,-0.30172,0.13606,-1.54858,-0.71126
0.29338,-1.78169,1.74091,-0.76096,0.31287,1.92173,1.86203
-1.82919,0.7583,1.11406,-0.45321,-1.05308,0.7654,-0.21712
-0.01928,0.12331,0.80523,-0.60633,-0.46725,1.2247,0.88113
-0.01928,-0.40581,-0.30033,-0.01729,0.91093,-0.21575,-0.21712
-0.97631,-0.65253,-0.15487,1.11406,0.41667,-1.18084,-1.37983
0.29338,-0.89891,-1.50796,0.13136,1.02119,0.07987,0.52975
-0.01928,0.41594,1.11406,0.28783,-0.92104,1.2247,0.19268
0.14143,-0.00665,-0.43999,-0.01729,1.37297,-0.52593,-0.71126
1.06238,0.7583,0.63779,-0.45321,0.04257,1.2247,0.19268
-1.27553,-0.65253,-0.94779,-0.01729,-0.14882,-0.52593,-0.21712
-0.58331,-1.13788,-0.69509,0.28783,-0.34799,-0.52593,-0.21712
-0.01928,-2.90161,-1.23177,-2.5383,2.28554,1.2247,-0.21712
-0.58331,-0.14277,0.63779,0.13136,0.31287,-0.21575,0.19268
0.7233,1.63088,0.32197,0.94156,-1.32828,0.40148,-0.71126
0.7233,-0.00665,0.80523,-0.15487,-1.69163,0.07987,-0.21712
0.44585,0.41594,-0.43999,0.59042,1.60383,0.07987,0.19268
-1.27553,1.46191,-0.15487,0.43852,-0.24649,-0.84637,-0.21712
-0.01928,0.41594,1.2861,-0.01729,-0.92104,-1.18084,-0.71126
-0.31776,0.93949,1.11406,1.11406,-1.1943,0.07987,-0.21712
0.88309,2.33337,-1.7625,-0.76096,-0.05188,-0.21575,-0.71126
1.06238,-0.89891,1.45421,-1.772,1.13281,1.2247,1.29221
-0.58331,0.58489,0.16767,0.28783,-1.32828,-0.84637,-1.37983
0.29338,-1.78169,-0.30033,-0.15487,1.37297,-0.21575,0.19268
-0.97631,1.13407,1.93886,-0.01729,-0.79151,-0.52593,-0.71126
0.14143,0.93949,0.00332,0.94156,-0.05188,0.40148,0.19268
-2.39883,-1.38502,2.32338,-1.47955,-1.32828,1.2247,1.86203
1.65653,-0.14277,0.96248,-0.01729,-1.55078,0.7654,1.29221
-0.45174,-0.78155,1.2861,-1.47955,0.22393,1.2247,1.86203
-0.01928,0.58489,-0.30033,0.59042,1.13281,0.40148,0.19268
-1.11902,-1.38502,-1.23177,-1.772,0.31287,0.40148,0.19268
-1.42424,1.81175,0.32197,-0.60633,-0.92104,0.07987,-0.21712
-1.27553,0.7583,-0.43999,-0.91699,1.23461,-2.07848,-1.37983
-2.21069,-1.25773,-0.30033,1.61108,-1.32828,-1.54858,-1.37983
0.14143,-0.52745,-0.15487,-0.01729,0.41667,-0.21575,-0.21712
1.43533,-1.64101,0.00332,0.59042,0.73545,0.40148,0.52975
-0.58331,1.46191,-0.94779,2.75696,0.31287,-1.18084,-1.37983
-0.71727,-0.14277,0.16767,0.13136,-0.58016,-1.18084,-0.71126
-2.09015,-2.18109,-0.80615,-1.6209,-0.79151,-1.18084,-2.55524
-0.84732,0.58489,1.58487,1.2861,-0.24649,-0.84637,-0.71126
1.06238,2.63199,0.63779,2.03972,-0.67825,0.07987,0.19268
0.88309,-0.52745,0.00332,-2.07848,0.91093,-0.21575,0.19268
0.44585,-0.14277,0.96248,-0.30172,-0.58016,0.7654,0.19268
0.29338,-1.13788,-0.69509,-0.60633,0.22393,0.40148,0.52975
-0.01928,-0.14277,-1.23177,-0.91699,-0.79151,0.40148,0.88113
-0.17779,1.13407,-0.57545,0.43852,-1.32828,-0.52593,-0.71126
-0.97631,0.25953,0.63779,-0.76096,0.82562,-0.21575,-0.21712
1.06238,0.41594,0.47617,-1.34289,-1.1943,1.2247,-0.21712
0.88309,-1.13788,-2.03972,-0.01729,1.37297,0.40148,-0.21712
0.29338,-0.65253,-0.80615,2.23427,1.02119,0.07987,0.52975
-0.31776,1.46191,0.16767,-0.45321,-0.46725,-0.84637,0.19268
0.14143,-0.65253,-0.94779,0.76096,0.52135,1.2247,-0.21712
-1.11902,-1.64101,-0.94779,1.45039,1.02119,-0.21575,0.19268
-0.01928,-1.38502,-1.09207,-2.21844,0.52135,0.7654,-0.71126
