Oscore,Cscore,Escore,AScore,Nscore,SS,Impulsive
-2.39883,-0.40581,-0.43999,0.13136,-0.58016,-0.21575,-0.71126
1.24033,-0.78155,1.11406,0.28783,-1.32828,1.92173,1.86203
-2.21069,0.58489,-1.23177,1.81866,-1.1943,-2.07848,-2.55524
0.7233,-0.40581,-0.15487,0.13136,0.04257,-0.21575,-0.21712
1.65653,-2.30408,0.80523,-1.21213,-1.05308,0.7654,-0.21712
-1.27553,0.12331,-0.80615,1.2861,-0.14882,-0.52593,-1.37983
0.58331,0.7583,1.2861,1.11406,-1.86962,0.07987,0.52975
-0.45174,0.7583,-0.30033,1.11406,0.13606,-0.52593,-2.55524
-0.01928,-0.89891,-0.69509,-1.34289,1.13281,1.2247,1.29221
-0.17779,-0.27607,0.96248,-0.30172,0.82562,0.7654,1.29221
-0.01928,-0.40581,0.63779,-0.76096,-0.14882,0.07987,-0.21712
1.65653,-0.00665,0.00332,0.94156,0.52135,0.40148,1.29221
-0.31776,1.63088,-0.43999,-1.6209,0.41667,-0.84637,-0.21712
-0.17779,1.30612,0.16767,-0.01729,0.62967,-0.84637,-0.21712
-0.17779,0.7583,-0.15487,0.28783,-1.1943,0.07987,-0.21712
-0.01928,-0.00665,1.11406,-0.01729,0.73545,1.2247,-0.21712
-1.11902,-2.42317,0.32197,-0.45321,1.72012,-0.21575,2.90161
-0.01928,-0.00665,0.63779,0.13136,-0.67825,0.40148,1.29221
2.15324,-0.27607,0.80523,0.76096,-0.46725,-0.84637,-1.37983
2.44904,-2.18109,0.00332,-0.60633,0.04257,1.2247,0.88113
0.58331,-0.27607,-0.30033,0.13136,-0.14882,1.2247,1.29221
-1.42424,-0.65253,-0.43999,0.76096,0.91093,-0.52593,-1.37983
0.14143,-0.00665,-1.09207,-1.34289,0.04257,-0.84637,-0.21712
-1.82919,0.25953,-1.37639,0.94156,0.52135,-0.84637,0.52975
0.7233,0.25953,0.47617,-0.60633,-0.14882,1.2247,-0.21712
1.06238,2.04506,0.00332,0.59042,-0.24649,-0.52593,-0.71126
-1.82919,-0.40581,-1.50796,-0.91699,0.41667,-2.07848,-1.37983
1.06238,-0.52745,-0.94779,1.2861,-1.1943,1.2247,0.88113
-0.58331,0.58489,-1.92173,-1.772,1.49158,1.2247,-0.21712
-2.21069,1.30612,-0.15487,0.28783,0.91093,-2.07848,-1.37983
-0.45174,0.41594,-1.92173,-0.01729,1.02119,-2.07848,-0.71126
1.06238,1.13407,0.47617,-0.45321,-1.43907,-0.84637,-1.37983
-0.01928,-1.25773,-0.69509,-0.30172,0.41667,0.40148,-1.37983
-1.27553,-0.14277,-1.23177,-1.6209,-0.46725,-1.54858,-1.37983
-0.45174,-1.64101,-0.94779,-0.30172,2.127,0.07987,1.29221
-0.58331,-1.25773,0.00332,-0.45321,-0.14882,-1.54858,-1.37983
1.88511,0.12331,-1.6334,-0.91699,0.04257,0.40148,0.19268
-0.58331,0.7583,0.32197,0.13136,0.62967,-0.21575,-0.21712
0.29338,-0.27607,-1.6334,-0.60633,-0.14882,0.40148,-0.71126
-0.17779,0.12331,0.47617,-1.07533,-0.14882,1.2247,-0.71126
-0.17779,0.12331,0.32197,-0.15487,-0.34799,1.2247,0.88113
0.44585,0.25953,-2.21069,0.76096,0.52135,1.92173,-0.21712
0.44585,0.25953,1.74091,0.13136,-0.67825,0.07987,-0.71126
-0.31776,-0.27607,0.47617,-1.34289,0.41667,1.2247,0.52975
0.44585,1.46191,0.32197,-1.47955,-0.79151,0.07987,-0.21712
-0.01928,-0.40581,0.47617,-0.76096,-0.92104,0.40148,0.19268
1.24033,0.93949,-0.15487,-2.07848,1.13281,-0.52593,0.52975
-1.11902,-0.40581,-0.69509,-0.45321,0.04257,-2.07848,-1.37983
0.7233,0.25953,0.63779,1.11406,-0.24649,1.2247,1.29221
-0.17779,-0.14277,-1.37639,-1.34289,0.22393,-2.07848,-1.37983
2.15324,-1.5184,0.00332,0.13136,0.73545,0.7654,1.29221
-1.55521,1.46191,0.47617,-0.30172,2.61139,-0.84637,-0.21712
-2.63199,0.25953,-1.09207,-0.91699,-0.05188,-1.54858,-1.37983
1.06238,1.46191,1.2861,-0.76096,0.91093,0.40148,0.19268
-0.31776,-0.27607,0.63779,-0.60633,-1.55078,0.7654,0.52975
-1.11902,-0.00665,0.00332,0.28783,-0.46725,-0.52593,0.19268
0.44585,1.13407,-0.94779,0.59042,0.62967,1.2247,1.86203
0.58331,0.25953,0.32197,1.11406,-0.58016,-0.52593,-0.71126
0.44585,-0.40581,0.32197,-1.21213,0.13606,0.07987,1.86203
0.14143,-0.52745,0.63779,-0.15487,-0.67825,1.2247,1.29221
-0.84732,-2.04506,-0.43999,-1.772,2.82196,0.07987,0.88113
0.29338,1.30612,-1.09207,-0.30172,-0.34799,-0.21575,-0.21712
-0.17779,-0.00665,-0.80615,-0.30172,1.02119,-0.21575,-0.21712
0.7233,0.25953,-0.43999,-0.01729,0.82562,-0.21575,-0.21712
-0.97631,-0.00665,0.00332,-0.01729,0.73545,-1.18084,-0.21712
-0.71727,0.58489,-0.15487,0.28783,0.04257,-0.21575,-0.71126
0.88309,-1.78169,0.47617,-0.30172,-1.69163,0.40148,0.19268
0.14143,-0.52745,0.00332,-1.92595,-1.32828,1.2247,0.52975
0.29338,1.30612,0.00332,1.81866,-0.67825,-0.52593,-0.21712
-1.97495,0.41594,-1.6334,0.94156,-0.58016,0.07987,0.52975
0.58331,1.30612,-0.94779,0.28783,-0.67825,-0.84637,-0.71126
0.14143,-0.78155,-0.57545,-0.15487,0.52135,1.2247,0.52975
-1.82919,-0.14277,-0.43999,-2.35413,0.13606,0.7654,0.52975
0.29338,-1.78169,1.74091,-0.76096,0.31287,1.92173,1.86203
0.58331,0.93949,-1.6334,-1.07533,0.41667,0.40148,-0.21712
0.29338,1.81175,0.80523,2.03972,-0.46725,-0.21575,-1.37983
-0.01928,-0.40581,-0.30033,-0.01729,0.91093,-0.21575,-0.21712
0.44585,0.25953,-0.30033,-0.91699,0.41667,0.40148,0.52975
1.24033,0.25953,-0.69509,-0.30172,0.91093,0.07987,-0.21712
-0.58331,2.04506,1.2861,1.2861,-1.69163,-0.52593,-0.71126
-0.58331,0.25953,-0.57545,-0.15487,-0.24649,-1.54858,-1.37983
-0.31776,0.25953,-1.7625,-1.47955,2.127,-0.52593,-1.37983
-0.31776,-0.78155,0.00332,0.76096,-0.24649,1.92173,-1.37983
0.29338,-1.13788,-1.23177,-0.01729,1.13281,1.92173,1.86203
0.88309,-0.65253,-0.57545,1.2861,1.02119,-0.21575,0.88113
0.44585,-0.89891,0.47617,-0.60633,0.62967,0.40148,1.29221
0.7233,0.41594,1.74091,0.13136,-0.67825,1.92173,0.88113
-0.97631,0.58489,0.96248,0.13136,0.31287,0.7654,0.52975
0.7233,-0.00665,0.80523,-0.15487,-1.69163,0.07987,-0.21712
0.58331,1.63088,1.45421,1.2861,-1.1943,0.7654,0.52975
-0.97631,-0.27607,0.16767,-0.15487,-0.05188,-1.18084,0.19268
1.24033,-1.0145,1.2861,-0.60633,1.02119,0.40148,0.19268
-0.71727,-0.78155,-0.30033,-0.76096,-0.05188,1.2247,0.19268
-0.58331,-0.27607,0.32197,0.94156,-0.05188,-0.21575,-0.21712
