Oscore,Cscore,Escore,AScore,Nscore,SS,Impulsive,Ketamine,Ketamine_User
-0.01928,-1.38502,-0.57545,-2.07848,-1.05308,0.40148,1.29221,CL0,N
0.88309,-0.00665,0.63779,-1.6209,1.49158,-1.18084,-1.37983,CL2,N
0.7233,0.41594,1.11406,-0.45321,-0.05188,1.2247,-0.21712,CL0,N
-2.39883,-0.40581,-0.43999,0.13136,-0.58016,-0.21575,-0.71126,CL0,N
-0.01928,-0.00665,0.00332,0.28783,-1.05308,-0.84637,0.52975,CL0,N
-0.01928,-0.14277,0.63779,0.76096,0.31287,-0.52593,-0.21712,CL0,N
1.24033,-0.78155,1.11406,0.28783,-1.32828,1.92173,1.86203,CL3,Y
-1.68062,-1.38502,-0.94779,-1.47955,-0.24649,-1.54858,-2.55524,CL0,N
-0.31776,-1.78169,0.32197,0.76096,0.31287,0.7654,0.19268,CL0,N
0.58331,-0.65253,1.2861,1.11406,-0.79151,0.7654,-0.21712,CL0,N
-2.21069,0.58489,-1.23177,1.81866,-1.1943,-2.07848,-2.55524,CL0,N
0.7233,-0.40581,-0.15487,0.13136,0.04257,-0.21575,-0.21712,CL2,N
0.7233,-0.00665,-1.23177,0.59042,0.73545,0.7654,0.52975,CL0,N
0.29338,2.04506,0.96248,1.11406,-0.67825,-0.84637,0.19268,CL0,N
-1.42424,-1.5184,-0.80615,1.11406,1.23461,-0.21575,1.86203,CL0,N
-1.11902,-3.46436,-2.21069,-0.45321,1.8399,-1.18084,-0.21712,CL4,Y
1.65653,-2.30408,0.80523,-1.21213,-1.05308,0.7654,-0.21712,CL5,Y
-1.42424,2.33337,0.16767,-0.30172,-0.46725,-1.18084,-0.71126,CL0,N
-0.01928,-0.14277,-0.57545,-0.15487,-0.58016,-1.18084,-1.37983,CL0,N
-0.71727,0.7583,-0.94779,-0.15487,0.62967,-1.54858,-1.37983,CL0,N
-0.01928,0.58489,0.96248,0.59042,-0.05188,0.7654,0.19268,CL0,N
0.58331,-0.14277,-0.43999,0.59042,0.73545,0.40148,0.19268,CL5,Y
-1.27553,0.12331,-0.80615,1.2861,-0.14882,-0.52593,-1.37983,CL0,N
0.58331,0.7583,1.2861,1.11406,-1.86962,0.07987,0.52975,CL0,N
-0.45174,0.7583,-0.30033,1.11406,0.13606,-0.52593,-2.55524,CL0,N
-0.01928,-0.65253,-0.15487,1.81866,-0.79151,-1.18084,-0.21712,CL0,N
1.43533,-0.27607,1.74091,1.2861,-0.92104,0.40148,0.19268,CL5,Y
1.88511,0.25953,-1.92173,-0.91699,1.8399,1.92173,0.19268,CL0,N
-0.01928,-0.89891,-0.69509,-1.34289,1.13281,1.2247,1.29221,CL5,Y
-0.17779,-0.27607,0.96248,-0.30172,0.82562,0.7654,1.29221,CL0,N
-0.45174,1.13407,-0.57545,0.76096,0.41667,-0.52593,-1.37983,CL3,Y
0.44585,1.13407,0.00332,0.28783,-0.79151,-0.52593,0.19268,CL0,N
-0.01928,-0.78155,0.63779,-1.21213,-0.67825,0.7654,-0.21712,CL4,Y
0.58331,0.25953,1.74091,1.11406,-2.75696,0.40148,-0.71126,CL3,Y
-0.01928,-0.27607,-0.43999,0.59042,-0.67825,-0.84637,-0.71126,CL0,N
-0.71727,-1.64101,-0.43999,-0.76096,-0.14882,0.7654,1.29221,CL3,Y
0.29338,0.93949,-0.43999,-0.76096,1.98437,0.40148,-0.71126,CL3,Y
2.15324,-0.78155,0.96248,0.76096,-0.34799,1.92173,1.29221,CL0,N
-0.17779,-0.40581,0.00332,-0.76096,1.13281,-0.21575,0.19268,CL0,N
0.88309,1.30612,0.80523,-0.45321,0.04257,-0.52593,0.19268,CL0,N
-0.31776,-0.14277,-1.50796,0.28783,0.62967,-2.07848,-0.71126,CL0,N
-0.01928,-0.40581,0.63779,-0.76096,-0.14882,0.07987,-0.21712,CL0,N
-0.01928,-0.00665,0.96248,0.43852,-0.46725,1.92173,0.88113,CL2,N
-1.42424,0.58489,0.63779,0.59042,-1.43907,-1.18084,-1.37983,CL0,N
-1.42424,2.04506,-0.30033,1.45039,-0.46725,-0.52593,-0.71126,CL0,N
0.58331,-1.5184,0.80523,0.94156,1.13281,-0.84637,0.88113,CL0,N
0.44585,-0.65253,-0.15487,0.43852,1.37297,-0.52593,1.86203,CL0,N
0.29338,0.7583,0.32197,0.43852,-0.24649,0.07987,-0.21712,CL0,N
-0.84732,-1.25773,1.11406,-0.45321,0.62967,-0.84637,-0.71126,CL0,N
-1.27553,-0.14277,-0.80615,1.81866,-1.69163,-0.84637,-0.21712,CL3,Y
1.65653,-0.00665,0.00332,0.94156,0.52135,0.40148,1.29221,CL0,N
0.7233,0.12331,-1.7625,-0.91699,-0.34799,-0.52593,-0.21712,CL0,N
0.14143,2.04506,0.32197,-0.01729,0.41667,-0.52593,-0.71126,CL0,N
-0.31776,1.63088,-0.43999,-1.6209,0.41667,-0.84637,-0.21712,CL0,N
-0.01928,1.13407,0.32197,-0.15487,-0.79151,-0.21575,-0.21712,CL0,N
0.29338,-0.78155,-0.69509,0.13136,2.28554,0.7654,0.52975,CL0,N
0.7233,0.58489,-0.94779,-0.91699,-0.67825,-0.84637,-1.37983,CL0,N
-0.84732,-0.52745,-0.57545,-1.21213,-0.14882,-1.18084,-1.37983,CL0,N
-0.45174,1.46191,2.32338,1.45039,-1.86962,-1.18084,0.19268,CL0,N
